Years,Number of Native Movies,Number of Foreign Movies,Sorted,Sorted
2000,4733,19363,3302,17903
2001,5042,20566,3351,18468
2002,3302,19227,4733,19227
2003,3351,17903,4989,19363
2004,4989,21409,5042,19405
2005,5671,19405,5671,20393
2006,6829,18468,6829,20566
2007,8340,20393,8340,21409
2008,9455,22548,9455,21672
2009,13275,21672,12072,22548
2010,12885,23114,12885,23114
2011,13027,24865,13027,24518
2012,12072,25474,13275,24861
2013,15545,24861,15545,24865
2014,16999,24518,16999,25474
2015,21494,27657,21494,27657
SUM,157009,351443,,
COUNT,16,16,,
AVG,9813.0625,21965.1875,9813,21965
